idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt,updatedAt
1885,1,5,285,1,,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2025-02-07,
1886,2,5,286,2,,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,2025-02-13,
1887,3,5,287,3,,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,2025-02-14,
1888,4,5,288,4,,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2025-02-08,
1889,1,5,289,1,,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,2025-02-22,
1890,2,5,290,2,9,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,2025-02-22,
1891,3,5,291,3,,ligula nec sem duis aliquam convallis nunc proin at turpis,2025-02-10,
1892,4,5,292,4,,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2025-02-21,
1893,1,5,293,1,,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2025-02-21,
1894,2,5,294,2,1,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2025-02-10,
1895,3,5,295,3,,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2025-02-01,
1896,4,5,296,4,,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,2025-02-22,
1897,1,5,297,1,5,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,2025-02-13,
1898,2,5,298,2,2,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,2025-02-07,
1899,3,5,299,3,,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,2025-02-09,
1900,4,5,300,4,,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,2025-02-02,
1901,1,5,301,1,,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2025-02-11,
1902,2,5,302,2,,risus semper porta volutpat quam pede lobortis ligula sit amet,2025-02-22,
1903,3,5,303,3,,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2025-02-19,
1904,4,5,304,4,,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,2025-02-08,
1905,1,5,305,1,,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,2025-02-19,
1906,2,5,306,2,,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,2025-02-17,
1907,3,5,307,3,,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,2025-02-09,
1908,4,5,308,4,,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2025-02-19,
1909,1,5,309,1,,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,2025-02-20,
1910,2,5,310,2,,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,2025-02-04,
1911,3,5,311,3,,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2025-02-23,
1912,4,5,312,4,10,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,2025-02-06,
1913,1,5,313,1,,a odio in hac habitasse platea dictumst maecenas ut massa,2025-02-10,
1914,2,5,314,2,,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,2025-02-02,
1915,3,5,315,3,,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,2025-02-11,
1916,4,5,316,4,,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,2025-02-04,
1917,1,5,317,1,,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,2025-02-10,
1918,2,5,318,2,,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,2025-02-15,
1919,3,5,319,3,4,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2025-02-03,
1920,4,5,320,4,,porttitor pede justo eu massa donec dapibus duis at velit eu est congue,2025-02-08,
1921,1,5,321,1,,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,2025-02-03,
1922,2,5,322,2,,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,2025-02-06,
1923,3,5,323,3,10,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,2025-02-14,
1924,4,5,324,4,,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,2025-02-02,
1925,1,5,325,1,,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,2025-02-09,
1926,2,5,326,2,5,vel est donec odio justo sollicitudin ut suscipit a feugiat,2025-02-01,
1927,3,5,327,3,,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,2025-02-12,
1928,4,5,328,4,3,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2025-02-25,
1929,1,5,329,1,2,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,2025-02-01,
1930,2,5,330,2,,in purus eu magna vulputate luctus cum sociis natoque penatibus et,2025-02-27,
1931,3,5,331,3,,semper sapien a libero nam dui proin leo odio porttitor,2025-02-13,
1932,4,5,332,4,,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,2025-02-26,
1933,1,5,333,1,8,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2025-02-26,
1934,2,5,334,2,,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2025-02-23,
1935,3,5,335,3,,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,2025-02-05,
1936,4,5,336,4,9,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,2025-02-08,
1937,1,5,337,1,3,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,2025-02-16,
1938,2,5,338,2,,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,2025-02-27,
1939,3,5,339,3,3,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,2025-02-11,
1940,4,5,340,4,10,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,2025-02-10,
1941,1,5,341,1,,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,2025-02-22,
1942,2,5,342,2,7,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2025-02-27,
1943,3,5,343,3,7,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,2025-02-05,
1944,4,5,344,4,7,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,2025-02-06,
1945,1,5,345,1,8,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,2025-02-02,
1946,2,5,346,2,4,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2025-02-01,
1947,3,5,347,3,3,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,2025-02-22,
1948,4,5,348,4,4,sapien non mi integer ac neque duis bibendum morbi non,2025-02-26,
1949,1,5,349,1,,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2025-02-12,
1950,2,5,350,2,,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,2025-02-15,
1951,3,5,351,3,,sollicitudin mi sit amet lobortis sapien sapien non mi integer,2025-02-04,
1952,4,5,352,4,,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,2025-02-17,
1953,1,5,353,1,9,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,2025-02-14,
1954,2,5,354,2,,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,2025-02-11,
1955,3,5,355,3,,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2025-02-22,
1956,4,5,356,4,,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2025-02-18,
1957,1,5,357,1,,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,2025-02-06,
1958,2,5,358,2,10,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2025-02-23,
1959,3,5,359,3,6,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,2025-02-21,
1960,4,5,360,4,7,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,2025-02-23,
1961,1,5,361,1,7,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2025-02-21,
1962,2,5,362,2,6,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,2025-02-11,
1963,3,5,363,3,3,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,2025-02-20,
1964,4,5,364,4,3,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,2025-02-11,
1965,1,5,365,1,9,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,2025-02-16,
1966,2,5,366,2,,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,2025-02-17,
1967,3,5,367,3,,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,2025-02-15,
1968,4,5,368,4,7,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,2025-02-14,
1969,1,5,369,1,,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2025-02-19,
1970,2,5,370,2,6,bibendum morbi non quam nec dui luctus rutrum nulla tellus in,2025-02-04,
1971,3,5,371,3,10,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2025-02-11,
1972,4,5,372,4,,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,2025-02-07,
1973,1,5,373,1,,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,2025-02-08,
1974,2,5,374,2,3,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2025-02-13,
1975,3,5,375,3,,commodo placerat praesent blandit nam nulla integer pede justo lacinia,2025-02-24,
1976,4,5,376,4,1,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,2025-02-06,
1977,1,5,377,1,,volutpat sapien arcu sed augue aliquam erat volutpat in congue,2025-02-20,
1978,2,5,378,2,8,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2025-02-08,
1979,3,5,379,3,3,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,2025-02-15,
1980,4,5,380,4,5,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,2025-02-14,
1981,1,5,381,1,3,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,2025-02-23,
1982,2,5,382,2,3,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,2025-02-06,
1983,3,5,383,3,7,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,2025-02-27,
1984,4,5,384,4,,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2025-02-09,
1985,1,5,385,1,,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,2025-02-09,
1986,2,5,386,2,,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,2025-02-26,
1987,3,5,387,3,10,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,2025-02-19,
1988,4,5,388,4,,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2025-02-20,
1989,1,5,389,1,,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,2025-02-27,
1990,2,5,390,2,,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,2025-02-01,
1991,3,5,391,3,,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,2025-02-17,
1992,4,5,392,4,,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,2025-02-18,
1993,1,5,393,1,,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,2025-02-24,
1994,2,5,394,2,,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,2025-02-07,
1995,3,5,395,3,,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2025-02-10,
1996,4,5,396,4,,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,2025-02-22,
1997,1,5,397,1,9,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2025-02-15,
1998,2,5,398,2,,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,2025-02-17,
1999,3,5,399,3,,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,2025-02-01,
2000,4,5,400,4,,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,2025-02-23,
2001,1,6,1,1,8,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,2025-02-28,
2002,2,6,2,2,,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,2025-02-28,
2003,3,6,3,3,,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,2025-02-28,
2004,4,6,4,4,8,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,2025-02-28,
2005,1,6,5,1,,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,2025-02-28,
2006,2,6,6,2,8,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,2025-02-28,
2007,3,6,7,3,8,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,2025-02-28,
2008,4,6,8,4,9,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,2025-02-28,
2009,1,6,9,1,1,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,2025-02-28,
2010,2,6,10,2,5,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,2025-02-28,
2011,3,6,11,3,,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,2025-02-28,
2012,4,6,12,4,4,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,2025-02-28,
2013,1,6,13,1,8,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,2025-02-28,
2014,2,6,14,2,,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,2025-02-28,
2015,3,6,15,3,,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,2025-02-28,
2016,4,6,16,4,6,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,2025-02-28,
2017,1,6,17,1,,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,2025-02-28,
2018,2,6,18,2,4,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,2025-02-28,
2019,3,6,19,3,7,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,2025-02-28,
2020,4,6,20,4,7,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,2025-02-28,
2021,1,6,21,1,7,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,2025-02-28,
2022,2,6,22,2,7,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,2025-02-28,
2023,3,6,23,3,,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,2025-02-28,
2024,4,6,24,4,,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,2025-02-28,
2025,1,6,25,1,7,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,2025-02-28,
2026,2,6,26,2,,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,2025-02-28,
2027,3,6,27,3,7,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,2025-02-28,
2028,4,6,28,4,10,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,2025-02-28,
2029,1,6,29,1,10,porttitor pede justo eu massa donec dapibus duis at velit,2025-02-28,
2030,2,6,30,2,10,luctus rutrum nulla tellus in sagittis dui vel nisl duis,2025-02-28,
2031,3,6,31,3,9,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,2025-02-28,
2032,4,6,32,4,,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2025-02-28,
2033,1,6,33,1,,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,2025-02-28,
2034,2,6,34,2,5,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2025-02-28,
2035,3,6,35,3,6,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,2025-02-28,
2036,4,6,36,4,7,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,2025-02-28,
2037,1,6,37,1,7,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,2025-02-28,
2038,2,6,38,2,6,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,2025-02-28,
2039,3,6,39,3,,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2025-02-28,
2040,4,6,40,4,,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,2025-02-28,
2041,1,6,41,1,,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,2025-02-28,
2042,2,6,42,2,6,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2025-02-28,
2043,3,6,43,3,6,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,2025-02-28,
2044,4,6,44,4,8,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,2025-02-28,
2045,1,6,45,1,5,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,2025-02-28,
2046,2,6,46,2,6,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,2025-02-28,
2047,3,6,47,3,8,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2025-02-28,
2048,4,6,48,4,8,phasellus sit amet erat nulla tempus vivamus in felis eu,2025-02-28,
2049,1,6,49,1,,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2025-02-28,
2050,2,6,50,2,2,aenean sit amet justo morbi ut odio cras mi pede malesuada,2025-02-28,
2051,3,6,51,3,,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,2025-02-28,
2052,4,6,52,4,8,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,2025-02-28,
2053,1,6,53,1,,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2025-02-28,
2054,2,6,54,2,,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,2025-02-28,
2055,3,6,55,3,7,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,2025-02-28,
2056,4,6,56,4,,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,2025-02-28,
2057,1,6,57,1,,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,2025-02-28,
2058,2,6,58,2,6,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,2025-02-28,
2059,3,6,59,3,3,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,2025-02-28,
2060,4,6,60,4,2,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,2025-02-28,
2061,1,6,61,1,10,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,2025-02-28,
2062,2,6,62,2,10,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,2025-02-28,
2063,3,6,63,3,,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,2025-02-28,
2064,4,6,64,4,,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,2025-02-28,
2065,1,6,65,1,6,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,2025-02-28,
2066,2,6,66,2,2,volutpat dui maecenas tristique est et tempus semper est quam pharetra,2025-02-28,
2067,3,6,67,3,8,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,2025-02-28,
2068,4,6,68,4,9,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,2025-02-28,
2069,1,6,69,1,10,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,2025-02-28,
2070,2,6,70,2,2,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,2025-02-28,
2071,3,6,71,3,,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,2025-02-28,
2072,4,6,72,4,5,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,2025-02-28,
2073,1,6,73,1,7,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2025-02-28,
2074,2,6,74,2,,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,2025-02-28,
2075,3,6,75,3,,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2025-02-28,
2076,4,6,76,4,6,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,2025-02-28,
2077,1,6,77,1,10,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,2025-02-28,
2078,2,6,78,2,,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2025-02-28,
2079,3,6,79,3,6,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,2025-02-28,
2080,4,6,80,4,6,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,2025-02-28,
2081,1,6,81,1,6,nulla nunc purus phasellus in felis donec semper sapien a libero nam,2025-02-28,
2082,2,6,82,2,,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,2025-02-28,
2083,3,6,83,3,,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,2025-02-28,
2084,4,6,84,4,8,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,2025-02-28,
2085,1,6,85,1,8,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,2025-02-28,
2086,2,6,86,2,2,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,2025-02-28,
2087,3,6,87,3,,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,2025-02-28,
2088,4,6,88,4,9,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,2025-02-28,
2089,1,6,89,1,7,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,2025-02-28,
2090,2,6,90,2,,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,2025-02-28,
2091,3,6,91,3,,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2025-02-28,
2092,4,6,92,4,,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2025-02-28,
2093,1,6,93,1,8,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,2025-02-28,
2094,2,6,94,2,7,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,2025-02-28,
2095,3,6,95,3,6,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,2025-02-28,
2096,4,6,96,4,,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,2025-02-28,
2097,1,6,97,1,7,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,2025-02-28,
2098,2,6,98,2,,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,2025-02-28,
2099,3,6,99,3,6,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,2025-02-28,
2100,4,6,100,4,,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,2025-02-28,
2101,1,6,101,1,8,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,2025-02-28,
2102,2,6,102,2,9,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,2025-02-28,
2103,3,6,103,3,6,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2025-02-28,
2104,4,6,104,4,,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,2025-02-28,
